step 0: train loss 10.6895, val loss 10.6778 
iter 148: loss 4.4924, time 8678.67ms, mfu 12.56%  
iter 149: loss 4.1712, time 7202.82ms, mfu 12.72%  
iter 150: loss 4.1784, time 7539.99ms, mfu 12.80%  
iter 151: loss 4.0033, time 6363.04ms, mfu 13.13%  
iter 152: loss 3.6990, time 14040.10ms, mfu 12.54%  
iter 153: loss 4.2106, time 9717.08ms, mfu 12.34%  
iter 154: loss 3.7467, time 6205.69ms, mfu 12.75%  
iter 155: loss 3.8913, time 5986.99ms, mfu 13.18%  
iter 156: loss 3.7349, time 5727.39ms, mfu 13.64%  
iter 157: loss 3.5710, time 3697.18ms, mfu 15.04%  
iter 158: loss 4.0427, time 5683.65ms, mfu 15.33%  
iter 159: loss 4.0244, time 6159.38ms, mfu 15.46%  
iter 160: loss 3.7818, time 6493.28ms, mfu 15.48%  
iter 161: loss 3.4727, time 6466.41ms, mfu 15.51%  
iter 162: loss 3.6534, time 7842.38ms, mfu 15.26%  
iter 163: loss 3.8976, time 7936.55ms, mfu 15.02%  
iter 164: loss 3.8483, time 11260.38ms, mfu 14.43%  
iter 165: loss 3.5072, time 7005.79ms, mfu 14.44%  
iter 166: loss 3.4900, time 8510.63ms, mfu 14.20%  
iter 167: loss 3.5416, time 11143.12ms, mfu 13.69%  
iter 168: loss 3.6648, time 7433.82ms, mfu 13.70%  
iter 169: loss 3.7465, time 6595.66ms, mfu 13.88%  
iter 170: loss 3.9117, time 8326.37ms, mfu 13.71%  
iter 171: loss 3.4731, time 6883.76ms, mfu 13.83%  
iter 172: loss 3.1573, time 8364.70ms, mfu 13.66%  
iter 173: loss 3.6618, time 10445.43ms, mfu 13.27%  
iter 174: loss 3.5442, time 6939.65ms, mfu 13.42%  
iter 175: loss 3.7579, time 9972.99ms, mfu 13.10%  
iter 176: loss 3.4191, time 17019.03ms, mfu 12.39%  
iter 177: loss 3.2358, time 12889.23ms, mfu 11.94%  
iter 178: loss 3.1584, time 8965.05ms, mfu 11.89%  
iter 179: loss 3.5060, time 11543.61ms, mfu 11.58%  
iter 180: loss 3.3642, time 17633.71ms, mfu 11.00%  
iter 181: loss 3.3631, time 20857.03ms, mfu 10.39%  
iter 182: loss 3.1008, time 16340.61ms, mfu 9.98%  
iter 183: loss 3.2893, time 14832.11ms, mfu 9.67%  
iter 184: loss 3.1050, time 9736.30ms, mfu 9.75%  
iter 185: loss 3.6369, time 11647.04ms, mfu 9.65%  
iter 186: loss 3.1073, time 11964.14ms, mfu 9.54%  
iter 187: loss 3.5676, time 6939.10ms, mfu 10.06%  
iter 188: loss 3.0135, time 12009.96ms, mfu 9.90%  
iter 189: loss 3.2375, time 10788.01ms, mfu 9.86%  
iter 190: loss 3.7564, time 10427.02ms, mfu 9.85%  
iter 191: loss 3.0912, time 11893.76ms, mfu 9.72%  
iter 192: loss 3.1357, time 14183.57ms, mfu 9.47%  
